id,slug,firstname,lastname,full_name,company,normalized_company,company_candidates,job_title,image_url,has_bio,has_sessions,tags,top,top_order
0dec00e7-bc55-f111-8fcb-6045bd954326,maeva-tordo-head-of-blue-factory,Maëva,Tordo,Maëva Tordo,Blue Factory ESCP Business School,blue factory escp business school,blue factory escp business school,Head of Blue Factory,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/74cfe1a3-9d32-4f08-9c0a-68953b9e8652,True,True,Diversity & Inclusion | Artificial Intelligence & Robotics | HR & EdTech & Future of Work,False,10000
63d4e164-0cc0-4b44-bb9b-ee80f3852890,mohssen-toumi-partner,Mohssen,Toumi,Mohssen Toumi,Oliver Wyman,oliver wyman,oliver wyman,Partner,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/2c26c453-89a1-42ea-bc0e-7f568c73d8a2,True,True,Artificial Intelligence & Robotics | DeepTech | Sovereignty & GovTech,False,10000
f3c6a736-e84d-f111-8ef3-6045bd9548dc,fatou-toure-partner,Fatou,Toure,Fatou Toure,Five35 Ventures,five35 ventures,five35 ventures,Partner,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/f85a62eb-f7d3-43d4-99bc-fde1e41c8b6c,True,True,Growth & Startup & Investment,False,10000
54f8b255-8bbd-4f6c-a6d5-e274b373e88b,julie-touyarot-vp-growth-marketing,Julie,Touyarot,Julie Touyarot,Doctolib,doctolib,doctolib,VP Growth & Marketing,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/e3427400-5075-497b-9940-12c4d19256a4,True,True,Healthcare & Wellness | Marketing & Advertising,False,10000
e6b897ab-4966-f111-8fcb-6045bd954326,samir-touzani-journaliste,Samir,Touzani,Samir Touzani,Les Echos,les echos,les echos,Journaliste,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/022ef310-5981-4c86-9c2e-df09b7cb2075,True,True,Artificial Intelligence & Robotics | Fintech & Banking & Compliance | Cybersecurity & Defense,False,10000
d89f5b50-4d5f-f111-8fcb-6045bd954326,antoine-tpk-billy-streamer-et-videaste,Antoine,TPK Billy,Antoine TPK Billy,Indépendant,independant,independant,Streamer et vidéaste,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/5d235805-5dd7-48eb-a769-df2ee5d3d64f,True,True,Media & Entertainment & Creators Economy,False,10000
9c5e5b34-4050-f111-8ef3-6045bd9548dc,claire-trachet-founder-ceo,Claire,Trachet,Claire Trachet,Trachet,trachet,trachet,Founder & CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/b0c0b1ec-b3df-4664-aebf-8d19fb40e924,True,True,DeepTech | Artificial Intelligence & Robotics | Cybersecurity & Defense,False,10000
22fdd37e-db64-f111-8fcb-6045bd954326,pierre-travaglini-head-of-partnerships,Pierre,Travaglini,Pierre Travaglini,Nolej,nolej,nolej,Head of Partnerships,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/68f9a100-f336-43b2-8748-2e98e1c8bdf2,True,True,Growth & Startup & Investment | HR & EdTech & Future of Work,False,10000
1e138bac-1958-f111-8fcb-6045bd954326,scott-trowbridge-chief-business-officer,Scott,Trowbridge,Scott Trowbridge,Datasection Inc,datasection,datasection,Chief Business Officer,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/139f0e23-558f-4b56-8854-989bebce15ac,True,True,Artificial Intelligence & Robotics | Cybersecurity & Defense | Media & Entertainment & Creators Economy,False,10000
43f6978f-e764-f111-8fcb-6045bd954326,sebastien-trudel-executive-director-innovation-technology,Sébastien,Trudel,Sébastien Trudel,Haus of Park,haus of park,haus of park,"Executive Director, Innovation & Technology",https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/5a1d28d2-e0b7-4f16-9114-b2f62fa3048c,True,True,Gaming & Sports & Esports | Marketing & Advertising | Media & Entertainment & Creators Economy,False,10000
f4073d2e-775b-f111-8fcb-6045bd954326,katerina-tsiraki-founder-ceo,Katerina,Tsiraki,Katerina Tsiraki,Virtality,virtality,virtality,Founder & CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/fc94155a-5903-41cc-a1b9-4f1080bffeeb,False,True,Artificial Intelligence & Robotics | Growth & Startup & Investment | Healthcare & Wellness,False,10000
3caf5206-342e-4874-bd7b-6c06f8c870a5,karen-tso-co-anchor-squawk-box-europe,Karen,Tso,Karen Tso,CNBC,cnbc,cnbc,Co-Anchor Squawk Box Europe,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/cc18e6ac-54d6-4411-90de-986e53768924,True,True,Artificial Intelligence & Robotics | DeepTech | Sovereignty & GovTech,False,10000
26842474-6f65-f111-8fcb-6045bd954326,atom-tualle-influenceur,ATOM,Tualle,ATOM Tualle,ATOM,atom,atom,Influenceur,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/cbd84646-2cee-4c6c-a2b8-f3ebdc8c68db,True,True,Artificial Intelligence & Robotics | Luxury & Fashion & Cosmetics | Media & Entertainment & Creators Economy,False,10000
d0562ecb-6353-f111-8fcb-6045bd954326,camille-tyan-ceo,Camille,Tyan,Camille Tyan,Swan,swan,swan,CEO,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/4d631274-b931-4fc2-89a4-6c84de1ba084,True,True,Consulting & B2B services | Growth & Startup & Investment | Fintech & Banking & Compliance,False,10000
a4922dbf-f663-f111-8fcb-6045bd954326,alexandre-valin-co-founder,Alexandre,Valin,Alexandre Valin,Kolektivolt,kolektivolt,kolektivolt,Co-founder,https://storageprdv2inwink.blob.core.windows.net/e935b27a-a548-4b47-af5e-efcb250b84e1/5c6d8e41-f3da-4d9e-bfeb-9ea08e0f3d08,True,True,Mobility & Smart Cities | Energy & Greentech,False,10000
